"DevelopmentRegion","RegionalDistrict","Municipality","Statistics","date","values"
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-02 (Feb)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-03 (Mar)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-04 (Apr)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-05 (May)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-06 (Jun)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-07 (Jul)",7
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-08 (Aug)",4
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-09 (Sep)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-10 (Oct)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-06 (Jun)",4
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-07 (Jul)",6
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-08 (Aug)",7
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-09 (Sep)",6
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-10 (Oct)",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-11 (Nov)",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-12 (Dec)",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-01 (Jan)",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-02 (Feb)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-03 (Mar)",3
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-04 (Apr)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-05 (May)",7
